odi:StoryCard	odi:specifies	odi:hasVariantName	odi:hasPositionInTheText	odi:hasIconography	odi:carriesRepresentation	odi:hasMeaningOf	rdf:istanceOf	odi:represents	odi:istanceof2	odi:hasTextualReference
regina-di-denari-tuttelealtrestorieUno	regina-di-denari		1	Grande	regina-di-denari-tuttelealtrestorieUno-protagonista	Protagonista	Character			«una delle più belle dame della compagnia, presentatasi col profilo da donna amorosa»@Elena di Troia
lo-eremita-tuttelealtrestorieUno	lo-eremita		2	Piccola	lo-eremita-tuttelealtrestorieUno-indovino	Indovino	Character			«un indovino»
nove-di-spade-tuttelealtrestorieUno	nove-di-spade		3	Piccola	nove-di-spade-tuttelealtrestorieUno-esito_della_guerra	Esito della guerra	Event			«quale fine avrebbe avuto la guerra che da anni la teneva assediata in una città a lei straniera»
il-giudizio-tuttelealtrestorieUno	il-giudizio		4		il-giudizio-tuttelealtrestorieUno-decisione_degli_Dèi	Decisione degli Dèi	InanimateObject			«la notizia che gli Dèi avevano da tempo decretato»
la-torre-tuttelealtrestorieUno	la-torre		5		la-torre-tuttelealtrestorieUno-la_caduta_di_troia	La caduta di Troia	Event			«la caduta di Troia»
il-mondo-tuttelealtrestorieUno	il-mondo		6	Piccola	il-mondo-tuttelealtrestorieUno-troia_assediata	Troia assediata	FinctionalPlace	il-mondo-tuttelealtrestorieUno-troia_assediata_luogo	Place	«quella città fortificata e assediata [...] era vista come Troia [...].»
dieci-di-coppe-tuttelealtrestorieUno	dieci-di-coppe		7	Piccola	dieci-di-coppe-tuttelealtrestorieUno-banchetto	Banchetto	Event			«i banchetti risonanti di canti e strimpellìo di cetre [...] che gli Achei preparavano per il giorno sospirato della espugnazione.»
il-carro-tuttelealtrestorieUno	il-carro		8	Piccola	il-carro-tuttelealtrestorieUno-profezia	Profezia	InanimateObject			La profezia dell'indovino: «Entrerà coi vincitori una donna su un carro, una regina o una dea [...]»
lo-amore-tuttelealtrestorieUno	lo-amore		9	Piccola	lo-amore-tuttelealtrestorieUno-profezia	Profezia	InanimateObject			La profezia dell'indovino: «il tuo Paride cadrà innamorato di lei»
la-luna-tuttelealtrestorieUno	la-luna		10	Piccola	la-luna-tuttelealtrestorieUno-lume_della_luna	Lume della Luna	InanimateObject			«che spingeva la bella e adultera sposa di Menelao a fuggire al lume della luna dalla città assediata [...]»
il-matto-tuttelealtrestorieUno	il-matto		11	Piccola	il-matto-tuttelealtrestorieUno-buffone_di_corte	Buffone di corte	Character			«accompagnata solo dal buffone di corte»
ruota-della-fortuna-tuttelealtrestorieUno	ruota-della-fortuna		12	Piccola	ruota-della-fortuna-tuttelealtrestorieUno-Olimpo	Olimpo	FinctionalPlace			
nove-di-coppe-tuttelealtrestorieUno	nove-di-coppe		13	Piccola	nove-di-coppe-tuttelealtrestorieUno-banchetto	Banchetto	Event			«banchetto degli Dèi»
lo-imperatore-tuttelealtrestorieUno	lo-imperatore		14	Piccola	lo-imperatore-tuttelealtrestorieUno-Zeus	Zeus	Character			«sommo Zeus»
il-bagatto-tuttelealtrestorieUno	il-bagatto		15	Piccola	il-bagatto-tuttelealtrestorieUno-poeta	Poeta	Character			
asso-di-denari-tuttelealtrestorieUno	asso-di-denari		16	Piccola	asso-di-denari-tuttelealtrestorieUno-elemosina	Elemosina 	InanimateObject			«questa sola elemosina»
asso-di-spade-tuttelealtrestorieUno	asso-di-spade		17	Piccola	asso-di-spade-tuttelealtrestorieUno-volontà_divina	Volontà divina	InanimateObject			«volontà dei Celesti»
cavaliere-di-bastoni-tuttelealtrestorieUno	cavaliere-di-bastoni		18	Piccola	cavaliere-di-bastoni-tuttelealtrestorieUno-cavallo_di_troia	Cavallo di Troia	InanimateObject			
regina-di-coppe-tuttelealtrestorieDue	regina-di-coppe		1	Grande	regina-di-coppe-tuttelealtrestorieDue-protagonista	Protagonista	Character			regina «soccorrevole»
la-forza-tuttelealtrestorieDue	la-forza		2		la-forza-tuttelealtrestorieDue-brigante	Brigante	Character			«feroce brigante»
il-penduto-tuttelealtrestorieDue	il-penduto		3		il-penduto-tuttelealtrestorieDue-brigante	Brigante	Character			«un feroce brigante [...] appeso a uno strumento di tortura»
il-sole-tuttelealtrestorieDue	il-sole		4		il-sole-tuttelealtrestorieDue-sole	Sole	InanimateObject			
la-giustizia-tuttelealtrestorieDue	la-giustizia		5		la-giustizia-tuttelealtrestorieDue-giustizia	Giustizia	Symbol			
tre-di-coppe-tuttelealtrestorieDue	tre-di-coppe		6		tre-di-coppe-tuttelealtrestorieDue-bevuta_del_brigante	Bevuta del brigante	Event			«N'ebbe pietà, s'avvicinò, gli porse da bere»
fante-di-bastoni-tuttelealtrestorieDue	fante-di-bastoni		7		fante-di-bastoni-tuttelealtrestorieDue-brigante	Brigante	Character			«un giovane agile e gentile»
il-carro-tuttelealtrestorieDue	il-carro		8	Piccola	il-carro-tuttelealtrestorieDue-carro	Carro	InanimateObject			«carro regale»
lo-amore-tuttelealtrestorieDue	lo-amore		9	Piccola	lo-amore-tuttelealtrestorieDue-innamoramento_della_protagonista	Innamoramento della protagonista 	Event			
la-luna-tuttelealtrestorieDue	la-luna		10	Piccola	la-luna-tuttelealtrestorieDue-liberazione_di_notte	Liberazione di notte	Event			«lo liberava nottetempo»
il-matto-tuttelealtrestorieDue	il-matto		11	Piccola	il-matto-tuttelealtrestorieDue-vagabondo	Vagabondo	Character			«invitandolo a fuggire camuffato da vagabondo»
dieci-di-bastoni-tuttelealtrestorieDue	dieci-bastoni		12		dieci-di-bastoni-tuttelealtrestorieDue-bosco	Bosco	FinctionalPlace			«nell'oscurità del bosco»
