odi:Story	odi:hasTotalNumberOfCards	odi:hasCard
TuttelealtrestorieUno	18	regina-di-denari-tuttelealtrestorieUno
TuttelealtrestorieUno	18	lo-eremita-tuttelealtrestorieUno
TuttelealtrestorieUno	18	nove-di-spade-tuttelealtrestorieUno
TuttelealtrestorieUno	18	il-giudizio-tuttelealtrestorieUno
TuttelealtrestorieUno	18	la-torre-tuttelealtrestorieUno
TuttelealtrestorieUno	18	il-mondo-tuttelealtrestorieUno
TuttelealtrestorieUno	18	dieci-di-coppe-tuttelealtrestorieUno
TuttelealtrestorieUno	18	il carro-tuttelealtrestorieUno
TuttelealtrestorieUno	18	lo-amore-tuttelealtrestorieUno
TuttelealtrestorieUno	18	la-luna-tuttelealtrestorieUno
TuttelealtrestorieUno	18	il-matto-tuttelealtrestorieUno
TuttelealtrestorieUno	18	ruota-della-fortuna-tuttelealtrestorieUno
TuttelealtrestorieUno	18	nove-di-coppe-tuttelealtrestorieUno
TuttelealtrestorieUno	18	lo-imperatore-tuttelealtrestorieUno
TuttelealtrestorieUno	18	il -bagatto-tuttelealtrestorieUno
TuttelealtrestorieUno	18	asso-di-denari-tuttelealtrestorieUno
TuttelealtrestorieUno	18	asso-di-spade-tuttelealtrestorieUno
TuttelealtrestorieUno	18	cavaliere-di-bastoni-tuttelealtrestorieUno
TuttelealtrestorieDue	15	regina-di-coppe-tuttelealtrestorieUno
TuttelealtrestorieDue	15	la-forza-tuttelealtrestorieDue
TuttelealtrestorieDue	15	il-penduto-tuttelealtrestorieDue
TuttelealtrestorieDue	15	il-sole-tuttelealtrestorieDue
TuttelealtrestorieDue	15	la-giustizia-tuttelealtrestorieDue
TuttelealtrestorieDue	15	tre-di-coppe-tuttelealtrestorieDue
TuttelealtrestorieDue	15	fante-di-bastoni-tuttelealtrestorieDue
TuttelealtrestorieDue	15	il carro-tuttelealtrestorieDue
TuttelealtrestorieDue	15	lo-amore-tuttelealtrestorieDue
TuttelealtrestorieDue	15	la-luna-tuttelealtrestorieDue
TuttelealtrestorieDue	15	il-matto-tuttelealtrestorieDue
TuttelealtrestorieDue	15	dieci-di-bastoni-tuttelealtrestorieDue
TuttelealtrestorieDue	15	cinque-di-denari-tuttelealtrestorieDue
TuttelealtrestorieDue	15	regina-di-spade-tuttelealtrestorieDue
