odi:Event	odi:carriedOutBy	odi:implies
nove-di-spade-tuttelealtrestorieUno-esito_della_guerra	regina-di-denari-tuttelealtrestorieUno-protagonista@lo-eremita-tuttelealtrestorieUno-indovino	
la-torre-tuttelealtrestorieUno-la_caduta_di_troia		il-mondo-tuttelealtrestorieUno-troia_assediata
dieci-di-coppe-tuttelealtrestorieUno-banchetto		
nove-di-coppe-tuttelealtrestorieUno-banchetto	regina-di-denari-tuttelealtrestorieUno-protagonista	
tre-di-coppe-tuttelealtrestorieDue-bevuta_del_brigante	il-penduto-tuttelealtrestorieDue-brigante@regina-di-coppe-tuttelealtrestorieDue-protagonista	
lo-amore-tuttelealtrestorieDue-innamoramento_della_protagonista	regina-di-coppe-tuttelealtrestorieDue-protagonista@fante-di-bastoni-tuttelealtrestorieDue-brigante	
la-luna-tuttelealtrestorieDue-liberazione_di_notte	regina-di-coppe-tuttelealtrestorieDue-protagonista@fante-di-bastoni-tuttelealtrestorieDue-brigante	
cinque-di-denari-tuttelealtrestorieDue-luce_del_mattino		
dieci-di-spade-tuttelealtrestorieDue-guerra	regina-di-coppe-tuttelealtrestorieDue-protagonista@regina-di-spade-tuttelealtrestorieDue-guerriera	
dieci-di-denari-tuttelealtrestorieTre-età_dello_oro	re-di-bastoni-tuttelealtrestorieTre-protagonista@la-morte-tuttelealtrestorieTre-principe_della_discontinuità	
quattro-di-denari-tuttelealtrestorieQuattro-viatico	cavaliere-di-denari-tuttelealtrestorieQuattro-protagonista	
cinque-di-bastoni-tuttelealtrestorieQuattro-vista_del_massacro	cavaliere-di-denari-tuttelealtrestorieQuattro-protagonista	
quattro-di-spade-tuttelealtrestorieQuattro-contesa		
due-di-bastoni-tuttelealtrestorieQuattro-necessità_di_una_scelta	cavaliere-di-denari-tuttelealtrestorieQuattro-protagonista@fante-di-spade-tuttelealtrestorieQuattro-guerriero	
sette-di-spade-tuttelealtrestorieQuattro-guerra		
sei-di-spade-tuttelealtrestorieQuattro-battaglie		
otto-di-spade-tuttelealtrestorieSei-guerra		
due-di-spade-tuttelealtrestorieSei-duello	la-giustizia-tuttelealtrestorieSei-protagonista@cavaliere-di-spade-tuttelealtrestorieSei-condottiero	
il-sole-tuttelealtrestorie-Sei-apparizione_della_protagonista	la-giustizia-tuttelealtrestorieSei-protagonista	
otto-di-coppe-tuttelealtrestorieSei-banchetto_di_nozze	regina-di-bastoni-tuttelealtrestorieSei-protagonista@cavaliere-di-spade-tuttelealtrestorieSei-condottiero	
cavaliere-di-coppe-tuttelealtrestorieSei-allontanamento_del_condottiero	cavaliere-di-spade-tuttelealtrestorieSei-condottiero	
dieci-di-denari-tuttelealtrestorieSei-pagamento_per_uno_scherano	la-imperatrice-tuttelealtrestorieSei-madre_del_condottiero@re-di-denari-tuttelealtrestorieSei-padre_del_condottiero	
due-di-coppe-tuttelealtrestorieSei-tavola_per_due	la-temperanza-tuttelealtrestorieSei-protagonista	asso-di-coppe-tuttelealtrestorieSei-vino
