odi:DeckCard	odi:hasName	odi:hasVariantNameInTheText	odi:hasSuit	odi:hasTypology	odi:isNumber	odi:hasCurrentLocation	odi:hasCondition	odi:hasImage	odi:hasAuthor	odi:isContainedIn
il-matto	Il Matto			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-fool.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
il-bagatto	Il Bagatto			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-01-magician.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-papessa	La Papessa			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-02-high_priestess.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-imperatrice	L'Imperatrice			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-03-empress.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
lo-imperatore	L'Imperatore			Trionfo		Accademia Carrara	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-04-emperor.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
il-papa	Il Papa			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-05-hierophant.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
lo-amore	L'Amore			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-06-lovers.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
il-carro	Il Carro			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-07-chariot.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-giustizia	La Giustizia			Trionfo		Accademia Carrara	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-08-justice.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
lo-eremita	L'Eremita			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-09-hermit.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-ruota-della-fortuna	La Ruota della Fortuna			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-10-wheel_of_fortune.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-forza	La Forza			Trionfo		Morgan Library	Sostituita	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-11-strength.jpg	Antonio da Cicognara	mazzo-il-castello-dei-destini-incrociati
il-penduto	Il Penduto	L'Appeso		Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-12-hanged_man.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-morte	La Morte			Trionfo		Morgan Library	Presente	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-13.jpg	Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-temperanza	La Temperanza			Trionfo		Morgan Library	Sostituita	https://commons.wikimedia.org/wiki/Category:Pierpont_Morgan-Bergamo_Visconti-Sforza_Tarot#/media/File:Bembo-Visconti-tarot-arcanum-14-temperance.jpg	Antonio da Cicognara	mazzo-il-castello-dei-destini-incrociati
il-diavolo	Il Diavolo			Trionfo			Perduta		Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
la-torre	La Torre			Trionfo			Perduta		Bonifacio Bembo	mazzo-il-castello-dei-destini-incrociati
