odi:Representation	owl:sameAs	odi:changesIn	odi:isSpecifiedWith	odi:isRelatedWith
nove-di-spade-tuttelealtrestorieUno-esito_della_guerra			il-giudizio-tuttelealtrestorieUno-decisione_degli_Dèi	
nove-di-spade-tuttelealtrestorieUno-esito_della_guerra			la-torre-tuttelealtrestorieUno-la_caduta_di_troia	
il-mondo-tuttelealtrestorieUno-troia_assediata			la-torre-tuttelealtrestorieUno-la_caduta_di_troia	
il-mondo-tuttelealtrestorieUno-troia_assediata				dieci-di-coppe-tuttelealtrestorieUno-banchetti
lo-eremita-tuttelealtrestorieUno-indovino				la-luna-tuttelealtrestorieUno-lume_della_luna
lo-eremita-tuttelealtrestorieUno-indovino				il-matto-tuttelealtrestorieUno-buffone_di_corte
lo-imperatore-tuttelealtrestorieUno-Zeus				il-bagatto-tuttelealtrestorieUno-poeta
lo-imperatore-tuttelealtrestorieUno-Zeus				asso-di-denari-tuttelealtrestorieUno-elemosina
lo-imperatore-tuttelealtrestorieUno-Zeus				asso-di-spade-tuttelealtrestorieUno-volontà_divina
lo-imperatore-tuttelealtrestorieUno-Zeus				cavaliere-di-bastoni-tuttelealtrestorieUno-cavallo_di_troia
la-forza-tuttelealtrestorieDue-brigante		il-penduto-tuttelealtrestorieDue-brigante		
il-penduto-tuttelealtrestorieDue-brigante			il-sole-tuttelealtrestorieDue-sole	
il-penduto-tuttelealtrestorieDue-brigante			la-giustizia-tuttelealtrestorieDue-giustizia	
la-forza-tuttelealtrestorieDue-brigante	fante-di-bastoni-tuttelealtrestorieDue-brigante			
lo-amore-tuttelealtrestorieDue-innamoramento_della_protagonista			la-luna-tuttelealtrestorieDue-liberazione_di_notte	
lo-amore-tuttelealtrestorieDue-innamoramento_della_protagonista			il-matto-tuttelealtrestorieDue-vagabondo	
lo-amore-tuttelealtrestorieDue-innamoramento_della_protagonista			il-carro-tuttelealtrestorieDue-carro	
cavaliere-di-spade-tuttelealtrestorieTre-guerriero			nove-di-denari-tuttelealtrestorieTre-ricchezza	
dieci-di-coppe-tuttelealtrestorieTre-osteria				asso-di-bastoni-tuttelealtrestorieTre-scettro
cavaliere-di-spade-tuttelealtrestorieTre-guerriero	la-morte-tuttelealtrestorieTre-principe_della_discontinuità			
dieci-di-denari-tuttelealtrestorieTre-età_dello_oro			otto-di-coppe-tuttelealtrestorieTre-spreco	
dieci-di-denari-tuttelealtrestorieTre-età_dello_oro			sei-di-spade-tuttelealtrestorieTre-battaglie	
dieci-di-denari-tuttelealtrestorieTre-età_dello_oro			la-torre-tuttelealtrestorieTre-follia	
dieci-di-denari-tuttelealtrestorieTre-età_dello_oro			il-giudizio-tuttelealtrestorieTre-giudizio	
il-papa-tuttelealtrestorieTre-papa				quattro-di-bastoni-tuttelealtrestorieTre-deserto
il-papa-tuttelealtrestorieTre-papa				otto-di-denari-tuttelealtrestorieTre-montagna
la-morte-tuttelealtrestorieQuattro-distesa_dei_cadaveri			dieci-di-spade-tuttelealtrestorieQuattro-cadaveri_squartati	
il-diavolo-tuttelealtrestorieQuattro-diavolo				due-di-denari-tuttelealtrestorieQuattro-dualità_bene_male
il-diavolo-tuttelealtrestorieQuattro-diavolo				quattro-di-spade-tuttelealtrestorieQuattro-contesa
fante-di-spade-tuttelealtrestorieQuattro-guerriero				sei-di-coppe-tuttelealtrestorieQuattro-pace_nel_mondo
cavaliere-di-denari-tuttelealtrestorieQuattro-protagonista				due-di-bastoni-tuttelealtrestorieQuattro-vittoria_altro_su_uno
sette-di-spade-tuttelealtrestorieQuattro-guerra			la-stella-tuttelealtrestorieQuattro-stelle	
sette-di-spade-tuttelealtrestorieQuattro-guerra			sei-di-spade-tuttelealtrestorieQuattro-battaglie	
il-diavolo-tuttelealtrestorieCinque-avventore				due-di-denari-tuttelealtrestorieCinque-due_denari
fante-di-coppe-tuttelealtrestorieCinque-protagonista	il-bagatto-tuttelealtrestorieCinque-protagonista			
lo-imperatore-tuttelealtrestorieCinque-ambizione				nove-di-coppe-tuttelealtrestorieCinque-inganno
la-papessa-tuttelealtrestorieCinque-sacerdotessa				la-temperanza-tuttelealtrestorieCinque-baccanti
la-papessa-tuttelealtrestorieCinque-sacerdotessa				asso-di-coppe-tuttelealtrestorieCinque-coppa_sacra
due-di-spade-tuttelealtrestorieSei-duello				otto-di-spade-tuttelealtrestorieSei-guerra
regina-di-bastoni-tuttelealtrestorieSei-protagonista	la-giustizia-tuttelealtrestorieSei-protagonista			
otto-di-coppe-tuttelealtrestorieSei-banchetto_di_nozze				la-imperatrice-tuttelealtrestorieSei-madre_del_condottiero
otto-di-coppe-tuttelealtrestorieSei-banchetto_di_nozze				re-di-denari-tuttelealtrestorieSei-padre_del_condottiero
dieci-di-denari-tuttelealtrestorieSei-pagamento_per_uno_scherano				nove-di-bastoni-tuttelealtrestorieSei-bosco
la-forza-tuttelealtrestorieSei-scherano		il-penduto-tuttelealtrestorieSei-scherano		
regina-di-bastoni-tuttelealtrestorieSei-protagonista		la-temperanza-tuttelealtrestorieSei-protagonista		
