odi:StoryCard	odi:specifies	odi:hasVariantName	odi:hasPositionInTheText	odi:hasIconography	odi:carriesRepresentation	odi:hasMeaningOf	rdf:istanceOf	odi:represents	odi:istanceOf2	odi:hasTextualReference
cavaliere-di-coppe-storiaUno	cavaliere-di-coppe		1	Grande	cavaliere-di-coppe-storiaUno-protagonista	Protagonista	Character			«un giovane roseo e biondo che sfoggiava un mantello raggiante di ricami a forma di sole, [...] mosso [...] più dal desiderio d'apparire che da una vera vocazione cavalleresca.»
re-di-denari-storiaUno	re-di-denari		2	Piccola	re-di-denari-storiaUno-padre	Padre 	Character			«un personaggio leggermente più anziano degli altri e dall'aspetto posato e prospero»
dieci-di-denari-storiaUno	dieci-di-denari		3	Piccola	dieci-di-denari-storiaUno-eredità	Eredità 	InanimateObject			«cospicua eredità»@«borsa colma di monete d'oro» 
nove-di-bastoni-storiaUno	nove-di-bastoni		4	Piccola	nove-di-bastoni-storiaUno-bosco	Bosco	FinctionalPlace			«ci ricordava il bosco...»@«[...] il segmento verticale che incrocia gli altri legni obliqui suggeriva appunto l'idea della strada che penetra nel folto della foresta.»
la-forza-storiaUno	la-forza		5	Grande	la-forza-storiaUno-brigante	Brigante	Character			«un energumeno armato»@«feroce brigante»
il-penduto-storiaUno	il-penduto		6	Grande	il-penduto-storiaUno-protagonista	Protagonista	Character			«il nostro giovane biondo spogliato d'ogni avere, e lasciato a penzolare da un ramo, a testa in giù.»
la-temperanza-storiaUno	la-temperanza		7	Grande	la-temperanza-storiaUno-fanciulla	Fanciulla	Character			«semplice figlia dei boschi»@«forse figlia d'un boscaiolo o d'un capraio, che avanzava [...] reggendo due brocche d'acqua, certo di ritorno dalla fonte.»
asso-di-coppe-storiaUno	asso-di-coppe		8	Grande	asso-di-coppe-storiaUno-bevuta_del_protagonista	Bevuta del protagonista	Event			«fu come se sentissimo lì vicino il fiottare d'una sorgente e l'ansare dell'uomo che si dissetava bocconi.»
due-di-coppe-storiaUno	due-di-coppe		9	Grande	due-di-coppe-storiaUno-incontro_di_amore	Incontro d'amore	Event			«incontro amoroso»@«idillio boschivo»
sette-di-bastoni-storiaUno	sette-di-bastoni		10	Piccola	sette-di-bastoni-storiaUno-bosco	Bosco	FinctionalPlace			«dove tra gli scuri tronchi della foresta pareva di veder allontanarsi la sua ombra sottile.»
la-imperatrice-storiaUno	la-imperatrice		11	Grande	la-imperatrice-storiaUno-sposa	Sposa	Character			«una sposa d'alto e dovizioso lignaggio [...] col suo scudo di famiglia e la sua faccia insipida...»
otto-di-coppe-storiaUno	otto-di-coppe		12	Grande	otto-di-coppe-storiaUno-banchetto_di_nozze	Banchetto di nozze	Event			«banchetto di nozze con due file di convitati che brindavano ai due sposi [...].» 
cavaliere-di-spade-storiaUno	cavaliere-di-spade		13	Grande	cavaliere-di-spade-storiaUno-imprevisto	Imprevisto	Event			«o un messaggero a cavallo aveva fatto irruzione nella festa portando una notizia inquietante, o lo sposo in persona aveva abbandonato il banchetto [...], o forse le due cose insieme: lo sposo era stato avvertito di un'apparizione imprevista e subito aveva imbracciato le armi ed era saltato in sella.» 
il-sole-storiaUno	il-sole		14	Grande	il-sole-storiaUno-bambino	Bambino	Character			«un bambino seminudo era stato visto correre [...]» sventolando il mantello del protagonista
la-giustizia-storiaUno	la-giustizia		15	Grande	la-giustizia-storiaUno-fanciulla	Fanciulla	Character			«la sua salvatrice del bosco, fatta più piena e risoluta e calma, con un melanconico sorriso [...].»@«spadaccina agguerita» 
due-di-spade-storiaUno	due-di-spade		16	Grande	due-di-spade-storiaUno-duello	Duello	Event			«Volavano tagliuzzate le foglie del bosco e le piante rampicanti s'attorcigliavano alle lame.» 
la-papessa-storiaUno	la-papessa		17		la-papessa-storiaUno-cibele	Cibele	Character			«misteriosa figura monacale incoronata»
otto-di-spade-storiaUno	otto-di-spade		18		otto-di-spade-storiaUno-lame	Lame	InanimateObject			«le lame taglienti delle scarmigliate seguaci di Cibele s'avventavano addosso a lui, straziandolo.»
re-di-coppe-storiaDue	re-di-coppe		1	Grande	re-di-coppe-storiaDue-protagonista	Protagonista	Character			«uno di quei sapienti [...] che tentano di strappare alla natura i suoi segreti, particolarmente quello della trasformazione dei metalli.»@«il dottor Faust»
asso-di-coppe-storiaDue	asso-di-coppe		2	Grande	asso-di-coppe-storiaDue-fonte_della_vita	Fonte della vita	InanimateObject			«la Fonte della Vita, il punto supremo della ricerca dell'alchimista»
la-papessa-storiaDue	la-papessa		3	Grande	la-papessa-storiaDue-strega	Strega	Character			Una delle donne «dedite alle arti della stregoneria e della divinazione del futuro»
otto-di-bastoni-storiaDue	otto-di-bastoni		4		otto-di-bastoni-storiaDue-bosco	Bosco	FinctionalPlace			
lo-imperatore-storiaDue	lo-imperatore		5	Grande	lo-imperatore-storiaDue-profezia	Profezia	InanimateObject			«Tu diventerai l'uomo più potente del mondo.»
il-bagatto-storiaDue	il-bagatto		6	Grande	il-bagatto-storiaDue-visitatore	Visitatore	Character			«un ciarlatano o mago intento ai suoi esercizi.»
sette-di-denari-storiaDue	sette-di-denari		7	Grande	sette-di-denari-storiaDue-denaro	Denaro	InanimateObject			«lo splendore di tutte le miniere dell'Oriente spalancate davanti a lui.»
due-di-denari-storiaDue	due-di-denari		8	Grande	due-di-denari-storiaDue-baratto	Baratto	Event			«segno di uno scambio [...], d'una compravendita, un baratto.»
il-diavolo-storiaDue	il-diavolo		9		il-diavolo-storiaDue-visitatore	Visitatore	Character			«egli aveva riconosciuto nel ciarlatano il vecchio principe d'ogni mescolanza e ambiguità»@Mefistofele
la-stella-storiaDue	la-stella		10	Grande	la-stella-storiaDue-anima	Anima	InanimateObject			
cinque-di-coppe-storiaDue	cinque-di-coppe		11	Grande	cinque-di-coppe-storiaDue-segreto_alchimistico	Segreto	InanimateObject			Il segreto alchimistico
cinque-di-coppe-storiaDue	cinque-di-coppe		11	Grande	cinque-di-coppe-storiaDue-brindisi_del_patto	Brindisi	Event			Un brindisi del patto
cinque-di-coppe-storiaDue	cinque-di-coppe		11	Grande	cinque-di-coppe-storiaDue-rintocchi_delle_campane	Rintocchi	Event			I rintocchi delle campane
cinque-di-coppe-storiaDue	cinque-di-coppe		11	Grande	cinque-di-coppe-storiaDue-discorso_anima_corpo	Discorso	InanimateObject			Un discorso sull'anima e il corpo
