odi:Representation	odi:hasFamilyRelationWith	odi:receives	odi:movingThrough	odi:isDefeatedBy	odi:hasAParticularConditionOf	odi:isHelpedBy	odi:marries	odi:bumpsInto	odi:longsFor	odi:arrivesAt	odi:sees	odi:trades	odi:discovers	odi:loses	odi:climbs 	odi:hasComplexRelationWith
cavaliere-di-coppe-storiaUno-protagonista	re-di-denari-storiaUno-padre	dieci-di-denari-storiaUno-eredità	nove-di-bastoni-storiaUno-bosco	la-forza-storiaUno-brigante		la-temperanza-storiaUno-fanciulla	la-imperatrice-storiaUno-sposa	il-sole-storiaUno-bambino								
cavaliere-di-coppe-storiaUno-protagonista			sette-di-bastoni-storiaUno-bosco	la-giustizia-storiaUno-fanciulla				la-papessa-storiaUno-cibele								
cavaliere-di-coppe-storiaUno-protagonista				otto-di-spade-storiaUno-lame												
cavaliere-di-coppe-storiaUno-protagonista																
cavaliere-di-coppe-storiaUno-protagonista																
re-di-coppe-storiaDue-protagonista									asso-di-coppe-storiaDue-fonte_della_vita							
re-di-coppe-storiaDue-protagonista						la-papessa-storiaDue-strega										
re-di-coppe-storiaDue-protagonista			otto-di-bastoni-storiaDue-bosco													
re-di-coppe-storiaDue-protagonista		lo-imperatore-storiaDue-profezia														
re-di-coppe-storiaDue-protagonista								il-bagatto-storiaDue-visitatore								
re-di-coppe-storiaDue-protagonista											sette-di-denari-storiaDue-denaro					
re-di-coppe-storiaDue-protagonista																
re-di-coppe-storiaDue-protagonista													il-diavolo-storiaDue-visitatore			
re-di-coppe-storiaDue-protagonista												la-stella-storiaDue-anima				
re-di-coppe-storiaDue-protagonista		cinque-di-coppe-storiaDue-segreto_alchimistico														
re-di-coppe-storiaDue-protagonista		cinque-di-coppe-storiaDue-discorso_anima_corpo														
re-di-coppe-storiaDue-protagonista																
re-di-coppe-storiaDue-protagonista																nove-di-coppe-storiaDue-ricchezza
re-di-coppe-storiaDue-protagonista																sei-di-denari-storiaDue-città_di_oro
re-di-coppe-storiaDue-protagonista																due-di-spade-storiaDue-guardie
re-di-coppe-storiaDue-protagonista																la-temperanza-storiaDue-fanciulla
fante-di-spade-storiaTre-protagonista										sei-di-bastoni-storiaTre-bosco						
fante-di-spade-storiaTre-protagonista											sette-di-denari-storiaTre-luccichìo					
fante-di-spade-storiaTre-protagonista								la-stella-storiaTre-fanciulla								
fante-di-spade-storiaTre-protagonista														sette-di-spade-storiaTre-armatura		
fante-di-spade-storiaTre-protagonista																regina-di-spade-storiaTre-fanciulla
fante-di-spade-storiaTre-protagonista																
fante-di-spade-storiaTre-protagonista												otto-di-denari-storiaTre-denaro				otto-di-denari-storiaTre-ricchezza
fante-di-spade-storiaTre-protagonista																
fante-di-spade-storiaTre-protagonista					quattro-di-denari-storiaTre-beatitudine											
fante-di-spade-storiaTre-protagonista										il-papa-storiaTre-tomba_di_un_papa						
fante-di-spade-storiaTre-protagonista													la-morte-storiaTre-fanciulla			
fante-di-spade-storiaTre-protagonista																dieci-di-spade-storiaTre-barriera
fante-di-spade-storiaTre-protagonista																cinque-di-bastoni-storiaTre-bosco
fante-di-spade-storiaTre-protagonista								il-diavolo-storiaTre-diavolo								
fante-di-spade-storiaTre-protagonista																due-di-denari-storiaTre-soldi
fante-di-spade-storiaTre-protagonista																quattro-di-spade-storiaTre-armatura
fante-di-denari-storiaQuattro-protagonista			la-morte-storiaQuattro-cimitero													
fante-di-denari-storiaQuattro-protagonista									il-papa-storiaQuattro-papa							
fante-di-denari-storiaQuattro-protagonista																otto-di-denari-storiaQuattro-ricchezza
