odi:Representation	odi:isHelpedBy	odi:longsFor	odi:receives	odi:arrivesAt	odi:speaksTo	odi:bumpsInto	odi:discovers	odi:movingThrough	odi:hasAParticularConditionOf	odi:marries	odi:hasComplexRelationWith
regina-di-denari-tuttelealtrestorieUno-protagonista	lo-eremita-tuttelealtrestorieUno-indovino	nove-di-spade-tuttelealtrestorieUno-esito_della_guerra	il-carro-tuttelealtrestorieUno-profezia	ruota-della-fortuna-tuttelealtrestorieUno-Olimpo	lo-imperatore-tuttelealtrestorieUno-Zeus						il-giudizio-tuttelealtrestorieUno-decisione_degli_Dèi
regina-di-denari-tuttelealtrestorieUno-protagonista			lo-amore-tuttelealtrestorieUno-profezia								la-torre-tuttelealtrestorieUno-la_caduta_di_Troia
regina-di-denari-tuttelealtrestorieUno-protagonista											il-mondo-tuttelealtrestorieUno-troia_assediata
regina-di-denari-tuttelealtrestorieUno-protagonista											dieci-di-coppe-tuttelealtrestorieUno-banchetti
regina-di-denari-tuttelealtrestorieUno-protagonista											la-luna-tuttelealtrestorieUno-lume_della_luna
regina-di-denari-tuttelealtrestorieUno-protagonista											il-matto-tuttelealtrestorieUno-buffone_di_corte
regina-di-denari-tuttelealtrestorieUno-protagonista											il-bagatto-tuttelealtrestorieUno-poeta
regina-di-denari-tuttelealtrestorieUno-protagonista											asso-di-denari-tuttelealtrestorieUno-elemosina
regina-di-denari-tuttelealtrestorieUno-protagonista											asso-di-spade-tuttelealtrestorieUno-volontà_divina
regina-di-denari-tuttelealtrestorieUno-protagonista											cavaliere-di-bastoni-tuttelealtrestorieUno-cavallo_di_troia
regina-di-coppe-tuttelealtrestorieDue-protagonista						la-forza-tuttelealtrestorieDue-brigante					
regina-di-coppe-tuttelealtrestorieDue-protagonista											il-penduto-tuttelealtrestorieDue-brigante
regina-di-coppe-tuttelealtrestorieDue-protagonista											il-sole-tuttelealtrestorieDue-sole
regina-di-coppe-tuttelealtrestorieDue-protagonista											la-giustizia-tuttelealtrestorieDue-giustizia
