odi:Representation	owl:sameAs	odi:changesIn	odi:isSpecifiedWith	odi:isRelatedWith
cavaliere-di-coppe-storiaUno-protagonista		il-penduto-storiaUno-protagonista		
la-temperanza-storiaUno-fanciulla		la-giustizia-storiaUno-fanciulla		
il-bagatto-storiaDue-visitatore	il-diavolo-storiaDue-visitatore			
la-ruota-della-fortuna-storiaDue-la_trasformazione_di_tutto_in_oro			nove-di-coppe-storiaDue-ricchezza	
la-ruota-della-fortuna-storiaDue-la_trasformazione_di_tutto_in_oro			sei-di-denari-storiaDue-città_di_oro	
sei-di-denari-storiaDue-città_di_oro				due-di-spade-storiaDue-guardie
sei-di-denari-storiaDue-città_di_oro				la-temperanza-storiaDue-fanciulla
la-stella-storiaTre-fanciulla		regina-di-spade-storiaTre-fanciulla		
la-stella-storiaTre-fanciulla	la-morte-storiaTre-fanciulla			
la-morte-storiaTre-fanciulla				dieci-di-spade-storiaTre-barriera
il-diavolo-storiaTre-diavolo				cinque-di-bastoni-storiaTre-bosco
il-diavolo-storiaTre-diavolo				due-di-denari-storiaTre-soldi
il-diavolo-storiaTre-diavolo				quattro-di-spade-storiaTre-armatura
il-papa-storiaQuattro-papa			otto-di-denari-storiaQuattro-denaro	
il-papa-storiaQuattro-papa				due-di-bastoni-storiaQuattro
il-mondo-storiaQuattro-città			la-torre-storiaQuattro-i_tetti_della_città	
cavaliere-di-spade-storiaQuattro-arcangelo				nove-di-denari-storiaQuattro-ricchezza
cavaliere-di-spade-storiaQuattro-arcangelo				sei-di-spade-storiaQuattro-forza
cavaliere-di-spade-storiaQuattro-arcangelo				otto-di-coppe-storiaQuattro-saggezza
nove-di-denari-storiaQuattro-ricchezza	dieci-di-denari-storiaQuattro-ricchezza			
re-di-spade-storiaCinque-protagonista			dieci-di-spade-storiaCinque-storia_di_orlando	
lo-amore-storiaCinque-amore_angelica_e_medoro				fante-di-bastoni-storiaCinque-medoro
la-forza-storiaCinque-violenza			cinque-di-bastoni-storiaCinque-schianto_dei_tronchi	
la-forza-storiaCinque-violenza			sette-di-spade-storiaCinque-la_durlindana_appesa_e_dimenticata	
la-forza-storiaCinque-violenza			cinque-di-denari-storiaCinque-spreco	
re-di-spade-storiaCinque-protagonista		il-matto-storiaCinque-protagonista		
il-matto-storiaCinque-protagonista			tre-di-coppe-storiaCinque-ampolla	
nove-di-coppe-storiaSei-banchetto				il-matto-storiaSei-orlando
nove-di-coppe-storiaSei-banchetto				lo-amore-storiaSei-amore
nove-di-coppe-storiaSei-banchetto				il-mondo-storiaSei-parigi
nove-di-coppe-storiaSei-banchetto				nove-di-spade-storiaSei-speranza
il-mondo-storiaSei-parigi			la-torre-storiaSei-caduta_dei_cadaveri	
il-giudizio-storiaSei-comando			dieci-di-coppe-storiaSei-deposito	
la-luna-storiaSei-luna			la-ruota-della-fortuna-storiaSei-luna	
la-luna-storiaSei-luna			asso-di-denari-storiaSei-luna	
il-bagatto-storiaSei-poeta				asso-di-denari-storiaSei-luna
